Location,Zone_Type,Day,Night
CPCBHQ,Commercial,39.377515813686024,47.01058660187435
Dilshad,Residential,43.422311724295525,73.22455854852754
centralschool,Silence,95.29840487986483,98.84452414351618
civil_lines,Residential,93.72658504026296,97.81347165107249
isbt,Commercial,74.18709714548804,96.56862745098039
ito,Commercial,87.22274153460432,97.0296883534848
mandir_marg,Residential,63.33976305978206,78.80551213016038
nsit,Silence,80.81732693077231,98.05735033449598
punjabi,Residential,78.49985685657029,90.70612743337404
