hour,Average_LAeq_dBA
0,56.29991038693754
1,55.61424034867699
2,55.059236197713105
3,54.78928530596745
4,55.07804934552626
5,56.51162305592691
6,58.14596402078116
7,59.28337668684242
8,60.02770555848202
9,60.693258023538824
10,60.82594835718751
11,60.737314979233965
12,60.53460087227473
13,60.26096995174645
14,60.21319319729794
15,60.224438118265205
16,60.29226032265804
17,60.28162955413958
18,60.0477324646321
19,59.72846079648665
20,59.40429028531277
21,58.834816179745225
22,58.04285625231152
23,57.371400232073995
